51.9527980	6.3067460	Meester Lovinklaan	7004BG	19
51.9496648	6.3142071	Papaverstraat	7004CH	19
51.9520525	6.3064332	Reigerlaan	7004BS	19
51.9503070	6.3095476	Sniplaan	7004BN	19
51.9489351	6.3113231	Tulpenstraat	7004DD	19
51.9521222	6.3108141	Acacialaan	7004AW	190
51.9520566	6.3110669	Acacialaan	7004AW	192
51.9507111	6.3072179	Oude Terborgseweg	7004DW	193
51.9504498	6.3073286	Oude Terborgseweg	7004DW	197
51.9502730	6.3073988	Oude Terborgseweg	7004DW	199
51.9503473	6.3078976	Oude Terborgseweg	7004DW	199A
51.9501325	6.3073845	Oude Terborgseweg	7004DW	199B
51.9500621	6.3073997	Oude Terborgseweg	7004DW	199C
51.9502474	6.3100361	Dennenweg	7004BP	19A
51.9525026	6.3053676	Hazenlaan	7004BL	1A
51.9554867	6.3033155	Acacialaan	7004AR	2
51.9488758	6.3132702	Anemoonstraat	7004EK	2
51.9498209	6.3098951	Begoniastraat	7004CL	2
51.9578458	6.3000648	Charley Tooropstraat	7004AS	2
51.9495616	6.3077155	Dennenweg	7004BS	2
51.9539746	6.3041365	Eikenlaan	7004AX	2
51.9531508	6.3051513	Esdoornlaan	7004BA	2
51.9523324	6.3055826	Hazenlaan	7004BL	2
51.9562001	6.3043679	Kastanjelaan	7004AK	2
51.9520362	6.3103102	Kievitlaan	7004BD	2
51.9503734	6.3107886	Klaproosstraat	7004EH	2
51.9480930	6.3123329	Korenbloemstraat	7004EE	2
51.9493887	6.3092381	Leliestraat	7004CS	2
51.9560894	6.3029299	Lijsterbeslaan	7004AH	2
51.9499900	6.3111503	Madeliefstraat	7004EJ	2
51.9497706	6.3124250	Muurbloemstraat	7004EC	2
51.9474373	6.3122903	Paardenbloemstraat	7004DZ	2
51.9492258	6.3124202	Pinksterbloemstraat	7004ED	2
51.9539635	6.3158573	Rekhemseweg	7004GL	2
51.9494535	6.3129487	Rozenstraat	7004CE	2
51.9508134	6.3083529	Sniplaan	7004BN	2
51.9510923	6.3114414	Zonnebloemstraat	7004EB	2
51.9517135	6.3109150	Zonneplein	7004EL	2
51.9512885	6.3122029	Asterstraat	7004BV	20
51.9553588	6.3174467	Badweg	7004GV	20
51.9493213	6.3098993	Begoniastraat	7004CL	20
51.9475610	6.3127459	Boterbloemstraat	7004DP	20
51.9577234	6.2990440	Charley Tooropstraat	7004AS	20
51.9508612	6.3115877	Dennenweg	7004BT	20
51.9521458	6.3160749	Duikerstraat	7004LC	20
51.9570564	6.3014256	Frans Halsweg	7004AB	20
51.9561833	6.3060325	Kastanjelaan	7004AK	20
51.9500092	6.3122928	Klaproosstraat	7004EH	20
51.9480599	6.3090750	Leliestraat	7004CS	20
51.9552736	6.3050602	Lijsterbeslaan	7004AH	20
51.9524000	6.3068731	Meester Lovinklaan	7004BJ	20
51.9494092	6.3141891	Papaverstraat	7004CJ	20
